giftid,GiftDate,DonationAmount,gifttype,id
2958,12/9/2020,100,Credit,384ba3d4dc8a1f70e7e9ac9c1fa1411e
2959,12/9/2020,100,Credit,384ba3d4dc8a1f70e7e9ac9c1fa1411e
2960,12/9/2020,100,Credit,384ba3d4dc8a1f70e7e9ac9c1fa1411e
2961,12/9/2020,100,Credit,384ba3d4dc8a1f70e7e9ac9c1fa1411e
2962,12/9/2020,100,Credit,384ba3d4dc8a1f70e7e9ac9c1fa1411e
2964,12/9/2020,103.4,Credit,c5b6a7e634cf1b1eda812c4e7a1f9736
2965,12/9/2020,15.51,Credit,309a3e047b794886b713fe50069411ba
2966,12/9/2020,517,Credit,569ef45525c74b73929497ca81818969
2968,12/10/2020,25,Credit,c3f539939de2a130da97797e39c1a140
2978,12/10/2020,51.7,Credit,13c65f13ae1bf689b7c1805aa9a151e0
2982,12/10/2020,103.4,Credit,544df6e356924f8b2bb947e5e2fc1b9c
3113,12/1/2020,103.4,Credit,b6f1f14f5ac8277f93546ec235d2fde9
3118,12/25/2020,15,Credit,03a9db4e0c499d0967d9d4f66beb9552
3121,11/23/2020,103.4,Credit,6ed130094baaf836c3ecf215126283ca
3124,12/1/2020,5.17,Credit,4661cf43175e483d40c34a5792d8a8b9
3125,12/1/2020,103.4,Credit,6bb40ab1706efdc9564c71f1efc53c3f
3125,12/1/2020,103.4,Credit,6bb40ab1706efdc9564c71f1efc53c3f
3127,12/1/2020,10.34,Credit,96f225480ba39f9f2aa9db23892efaaf
3129,12/1/2020,51.7,Credit,35606d210e913e99140d7f82ee548bbc
3130,12/1/2020,103.4,Credit,e4ad14a729e109ef8f0ab38f6c105c54
3133,12/25/2020,51.7,Credit,6be4c48462e4d5ef9c18ea2a6e383a90
3133,12/25/2020,51.7,Credit,6be4c48462e4d5ef9c18ea2a6e383a90
3138,12/1/2020,103.4,Credit,33e673117d95f3b24e49c4f8225353cb
3142,12/1/2020,992.65,Credit,5082f0841bc5a88e87b4303528e180ac
3145,12/1/2020,51.7,Credit,44151e0fe34ff0b82009de29efbd578b
3145,12/1/2020,51.7,Credit,ea1409582958bf4789446a1f4bedd751
3149,11/23/2020,103.4,Credit,6af326e047d2c5c12695da9a3a13c937
3242,11/23/2020,77.55,Credit,ffe6b263277df1a96226c748663c56ed
3247,11/23/2020,103.4,Credit,e6b1757f313d3cad4410f304ce2c8e8a
3248,11/23/2020,51.7,Credit,bce0bcc5653e9be9d7208a7256975946
3249,11/23/2020,50,Credit,fea0ee53fd914a29637a0e64f54c1e2b
3253,11/23/2020,103.4,Credit,01264df256c64b6f5d9de48598c3ca87
3255,12/25/2020,500,Credit,654a735418843a5035c6f9857890218e
3257,12/25/2020,103.4,Credit,bd75970af48cdc2e759b642dd080dc97
3258,11/23/2020,103.4,Credit,fedc73880087306ee686a3a2790d261a
3259,11/23/2020,103.4,Credit,c56db228db1a0b22eccdd883e70fec84
3266,11/23/2020,51.7,Credit,3aed5244f15436348f97265de9fc8000
1,8/26/2021,5.23,Credit,51acb34ff41fe1c0bf40b332232b6e5b
1,8/26/2021,5.23,Credit,4825f8108dd849f0680dd541770a1b6d
1,8/26/2021,5.23,Credit,51acb34ff41fe1c0bf40b332232b6e5b
2,8/24/2021,26.1,Credit,51acb34ff41fe1c0bf40b332232b6e5b
2,8/24/2021,26.1,Credit,4825f8108dd849f0680dd541770a1b6d
2,8/24/2021,26.1,Credit,51acb34ff41fe1c0bf40b332232b6e5b
3,8/24/2021,5.23,Credit,51acb34ff41fe1c0bf40b332232b6e5b
3,8/24/2021,5.23,Credit,4825f8108dd849f0680dd541770a1b6d
3,8/24/2021,5.23,Credit,51acb34ff41fe1c0bf40b332232b6e5b
4,8/19/2021,5.23,Credit,51acb34ff41fe1c0bf40b332232b6e5b
4,8/19/2021,5.23,Credit,4825f8108dd849f0680dd541770a1b6d
4,8/19/2021,5.23,Credit,51acb34ff41fe1c0bf40b332232b6e5b
5,8/30/2021,5.23,Credit,51acb34ff41fe1c0bf40b332232b6e5b
5,8/30/2021,5.23,Credit,4825f8108dd849f0680dd541770a1b6d
5,8/30/2021,5.23,Credit,51acb34ff41fe1c0bf40b332232b6e5b
6,8/27/2021,5.23,Credit,51acb34ff41fe1c0bf40b332232b6e5b
6,8/27/2021,5.23,Credit,4825f8108dd849f0680dd541770a1b6d
